epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33.0195,1.1116,1.32611,1.26666,0.94074,0.69046,0.85789,0.54238,1.04502,2.24388,1.31269,0.000487162,0.000487162,0.000487162
43,33.6375,1.17048,1.79683,1.46642,0.86418,0.55386,0.80019,0.50465,1.06662,2.28075,1.31358,0.000490728,0.000490728,0.000490728
44,34.2265,1.12383,1.40289,1.40697,0.86418,0.55386,0.80019,0.50465,1.06662,2.28075,1.31358,0.000493898,0.000493898,0.000493898
45,34.8465,1.24782,1.44394,1.38744,0.8394,0.56522,0.79237,0.53974,0.92484,2.22657,1.13694,0.000496672,0.000496672,0.000496672
46,35.4535,1.30676,1.5163,1.51305,0.8394,0.56522,0.79237,0.53974,0.92484,2.22657,1.13694,0.00049905,0.00049905,0.00049905
47,36.0995,1.12299,1.412,1.3848,0.93701,0.64709,0.83319,0.60848,0.88305,2.17449,1.13413,0.000501032,0.000501032,0.000501032
48,36.7192,1.06143,1.29004,1.21876,0.93701,0.64709,0.83319,0.60848,0.88305,2.17449,1.13413,0.000502618,0.000502618,0.000502618
49,37.3372,1.13791,1.36055,1.33283,0.94253,0.73913,0.8305,0.53863,0.99948,2.11102,1.21382,0.000503808,0.000503808,0.000503808
50,37.9202,1.05497,1.42779,1.35489,0.94253,0.73913,0.8305,0.53863,0.99948,2.11102,1.21382,0.000504602,0.000504602,0.000504602
51,38.5302,1.25053,1.4384,1.42023,0.90143,0.73913,0.82259,0.50445,1.10438,2.11378,1.29814,0.000505,0.000505,0.000505
52,39.1142,1.06554,1.3908,1.38188,0.90143,0.73913,0.82259,0.50445,1.10438,2.11378,1.29814,0.000505002,0.000505002,0.000505002
53,39.6972,1.09037,1.32229,1.286,0.90143,0.73913,0.82259,0.50445,1.10438,2.11378,1.29814,0.000504608,0.000504608,0.000504608
54,40.3362,1.01622,1.57065,1.25642,0.84498,0.73913,0.82431,0.57406,1.01504,1.99546,1.1896,0.000503818,0.000503818,0.000503818
55,40.9202,1.27189,1.54653,1.2921,0.84498,0.73913,0.82431,0.57406,1.01504,1.99546,1.1896,0.000502632,0.000502632,0.000502632
56,41.5062,1.02965,1.32074,1.35487,0.84498,0.73913,0.82431,0.57406,1.01504,1.99546,1.1896,0.00050105,0.00050105,0.00050105
57,42.1202,1.04418,1.22053,1.2864,0.85507,0.78261,0.81568,0.5774,0.96479,1.92814,1.18279,0.000499072,0.000499072,0.000499072
58,42.7142,1.06412,1.46097,1.28345,0.85507,0.78261,0.81568,0.5774,0.96479,1.92814,1.18279,0.000496698,0.000496698,0.000496698
59,43.3032,1.06549,1.37209,1.29963,0.85507,0.78261,0.81568,0.5774,0.96479,1.92814,1.18279,0.000493928,0.000493928,0.000493928
60,44.0622,1.14602,1.27009,1.21766,0.88319,0.82609,0.82733,0.56434,0.96614,1.92132,1.19523,0.000490762,0.000490762,0.000490762
61,44.6932,1.08279,1.38407,1.1321,0.88319,0.82609,0.82733,0.56434,0.96614,1.92132,1.19523,0.0004872,0.0004872,0.0004872
62,45.3202,1.02359,1.26541,1.25752,0.88319,0.82609,0.82733,0.56434,0.96614,1.92132,1.19523,0.000483242,0.000483242,0.000483242
63,45.9412,1.05318,1.36575,1.25813,0.86057,0.78261,0.82795,0.55841,1.01418,1.86733,1.21181,0.000478888,0.000478888,0.000478888
64,46.5332,0.95713,1.23072,1.1641,0.86057,0.78261,0.82795,0.55841,1.01418,1.86733,1.21181,0.000474138,0.000474138,0.000474138
65,47.1572,1.03798,1.30007,1.1584,0.86057,0.78261,0.82795,0.55841,1.01418,1.86733,1.21181,0.000468992,0.000468992,0.000468992
66,47.8022,1.06297,1.28463,1.38309,0.89463,0.82609,0.84875,0.54902,0.98587,1.80566,1.19023,0.00046345,0.00046345,0.00046345
67,48.3882,1.14016,1.26797,1.19724,0.89463,0.82609,0.84875,0.54902,0.98587,1.80566,1.19023,0.000457512,0.000457512,0.000457512
68,48.9742,0.97142,1.44994,1.21217,0.89463,0.82609,0.84875,0.54902,0.98587,1.80566,1.19023,0.000451178,0.000451178,0.000451178
69,49.5882,0.96428,1.15386,1.17265,0.89726,0.82609,0.87931,0.5843,0.97877,1.69904,1.16838,0.000444448,0.000444448,0.000444448
