epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.401,0,98.3417,0,0,0,0,0,0,48.25,0,0,0,0
2,2.642,0,98.2403,0,0,0,0,0,0,48.25,0,1.9802e-05,1.9802e-05,1.9802e-05
3,3.2,0,98.2267,0,0,0,0,0,0,48.25,0,3.9208e-05,3.9208e-05,3.9208e-05
4,3.683,0,98.0961,0,0,0,0,0,0,48.25,0,5.8218e-05,5.8218e-05,5.8218e-05
5,4.143,0,97.9705,0,0,0,0,0,0,48.25,0,7.6832e-05,7.6832e-05,7.6832e-05
6,4.612,0,98.3691,0,0,0,0,0,0,48.25,0,9.505e-05,9.505e-05,9.505e-05
7,5.103,0,98.076,0,0,0,0,0,0,48.25,0,0.000112872,0.000112872,0.000112872
8,5.525,0,98.0953,0,0,0,0,0,0,48.25,0,0.000130298,0.000130298,0.000130298
9,5.951,0,98.1176,0,0,0,0,0,0,48.25,0,0.000147328,0.000147328,0.000147328
10,6.469,0,98.2817,0,0,0,0,0,0,48.25,0,0.000163962,0.000163962,0.000163962
11,7.048,0,95.9871,0,0,0,0,0,0,48.25,0,0.0001802,0.0001802,0.0001802
12,7.615,0,95.0091,0,0,0,0,0,0,48.25,0,0.000196042,0.000196042,0.000196042
13,8.203,0,93.9039,0,0,0,0,0,0,48.25,0,0.000211488,0.000211488,0.000211488
14,8.791,0,92.8737,0,0,0,0,0,0,48.25,0,0.000226538,0.000226538,0.000226538
15,9.351,0,91.7606,0,0,0,0,0,0,48.25,0,0.000241192,0.000241192,0.000241192
16,9.938,0,90.1956,0,0,0,0,0,0,48.25,0,0.00025545,0.00025545,0.00025545
17,10.534,0,88.1696,0,0,0,0,0,0,48.25,0,0.000269312,0.000269312,0.000269312
18,11.123,0,86.4134,0,0,0,0,0,0,48.25,0,0.000282778,0.000282778,0.000282778
19,11.699,0,86.5491,0,0,0,0,0,0,48.25,0,0.000295848,0.000295848,0.000295848
20,12.232,0,84.3061,0,0,0,0,0,0,48.25,0,0.000308522,0.000308522,0.000308522
21,12.822,0,84.6705,0,0,0,0,0,0,48.25,0,0.0003208,0.0003208,0.0003208
22,13.358,0,82.0283,0,0,0,0,0,0,48.25,0,0.000332682,0.000332682,0.000332682
23,13.916,0,81.8171,0,0,0,0,0,0,48.25,0,0.000344168,0.000344168,0.000344168
24,14.44,0,79.0868,0,0,0,0,0,0,48.25,0,0.000355258,0.000355258,0.000355258
25,15.012,0,79.3228,0,0,0,0,0,0,48.25,0,0.000365952,0.000365952,0.000365952
26,15.537,0,77.747,0,0,0,0,0,0,48.25,0,0.00037625,0.00037625,0.00037625
27,16.098,0,76.7301,0,0,0,0,0,0,48.25,0,0.000386152,0.000386152,0.000386152
28,16.626,0,81.076,0,0,0,0,0,0,48.25,0,0.000395658,0.000395658,0.000395658
29,17.188,0,80.5078,0,0,0,0,0,0,48.25,0,0.000404768,0.000404768,0.000404768
30,17.731,0,77.7152,0,0,0,0,0,0,48.25,0,0.000413482,0.000413482,0.000413482
31,18.302,0,72.9598,0,0,0,0,0,0,48.2188,0,0.0004218,0.0004218,0.0004218
32,18.85,0,73.9673,0,0,0,0,0,0,48.2188,0,0.000429722,0.000429722,0.000429722
33,19.8728,0,72.6379,0,0,0,0,0,0,48.0625,0,0.000437248,0.000437248,0.000437248
34,20.5388,0,71.5413,0,0,0,0,0,0,48.0625,0,0.000444378,0.000444378,0.000444378
35,21.1718,0,71.6282,0,0,0,0,0,0,47.8438,0,0.000451112,0.000451112,0.000451112
36,21.6988,0,69.7679,0,0,0,0,0,0,47.8438,0,0.00045745,0.00045745,0.00045745
37,22.2528,0,69.6176,0,0,0,0,0,0,46.9375,0,0.000463392,0.000463392,0.000463392
38,22.7878,0,68.4009,0,0,0,0,0,0,46.9375,0,0.000468938,0.000468938,0.000468938
39,23.3488,0,68.1837,0,0,0,0,0,0,46.25,0,0.000474088,0.000474088,0.000474088
40,23.8788,0,66.1006,0,0,0,0,0,0,46.25,0,0.000478842,0.000478842,0.000478842
41,24.4378,0,66.2929,0,0,0,0,0,0,45.1875,0,0.0004832,0.0004832,0.0004832
42,25.0038,0,65.6524,0,0,0,0,0,0,45.1875,0,0.000487162,0.000487162,0.000487162
43,25.5738,0,71.8216,0,0,0,0,0,0,46.8438,0,0.000490728,0.000490728,0.000490728
44,26.1108,0,72.7365,0,0,0,0,0,0,46.8438,0,0.000493898,0.000493898,0.000493898
45,26.6678,0,67.7141,0,0,0,0,0,0,47.9062,0,0.000496672,0.000496672,0.000496672
46,27.2148,0,65.1455,0,0,0,0,0,0,47.9062,0,0.00049905,0.00049905,0.00049905
47,27.7788,0,68.3841,0,0,0,0,0,0,48.0938,0,0.000501032,0.000501032,0.000501032
48,28.3298,0,67.6833,0,0,0,0,0,0,48.0938,0,0.000502618,0.000502618,0.000502618
49,28.9018,0,68.7759,0,0,0,0,0,0,46.25,0,0.000503808,0.000503808,0.000503808
50,29.4378,0,65.6986,0,0,0,0,0,0,46.25,0,0.000504602,0.000504602,0.000504602
51,30.0428,0,64.9311,0,0,0,0,0,0,38.3438,0,0.000505,0.000505,0.000505
52,30.6178,0,63.945,0,0,0,0,0,0,38.3438,0,0.000505002,0.000505002,0.000505002
53,31.1748,0,63.4388,0,0,0,0,0,0,38.3438,0,0.000504608,0.000504608,0.000504608
54,31.7618,0,64.506,0,0,0,0,0,0,30.125,0,0.000503818,0.000503818,0.000503818
55,32.3208,0,62.5839,0,0,0,0,0,0,30.125,0,0.000502632,0.000502632,0.000502632
56,32.8618,0,62.2363,0,0,0,0,0,0,30.125,0,0.00050105,0.00050105,0.00050105
57,33.4278,0,62.2498,0,0,0,0,0,0,27.125,0,0.000499072,0.000499072,0.000499072
58,33.9668,0,63.6623,0,0,0,0,0,0,27.125,0,0.000496698,0.000496698,0.000496698
59,34.5108,0,61.8618,0,0,0,0,0,0,27.125,0,0.000493928,0.000493928,0.000493928
60,35.1118,0,61.556,0,0,0,0,0,0,24.8906,0,0.000490762,0.000490762,0.000490762
61,35.6628,0,61.7824,0,0,0,0,0,0,24.8906,0,0.0004872,0.0004872,0.0004872
62,36.2038,0,62.418,0,0,0,0,0,0,24.8906,0,0.000483242,0.000483242,0.000483242
63,36.7648,0,61.7809,0,0,0,0,0,0,22.875,0,0.000478888,0.000478888,0.000478888
64,37.3108,0,60.9766,0,0,0,0,0,0,22.875,0,0.000474138,0.000474138,0.000474138
65,37.8418,0,60.9927,0,0,0,0,0,0,22.875,0,0.000468992,0.000468992,0.000468992
66,38.4018,0,64.6036,0,0,0,0,0,0,21.7969,0,0.00046345,0.00046345,0.00046345
67,38.9588,0,61.1973,0,0,0,0,0,0,21.7969,0,0.000457512,0.000457512,0.000457512
68,39.5068,0,60.9586,0,0,0,0,0,0,21.7969,0,0.000451178,0.000451178,0.000451178
69,40.0858,0,60.9992,0,0,0,0,0,0,21.0938,0,0.000444448,0.000444448,0.000444448
70,40.6318,0,60.517,0,0,0,0,0,0,21.0938,0,0.000437322,0.000437322,0.000437322
71,41.2483,0,60.1828,0,0,0,0,0,0,21.0938,0,0.0004298,0.0004298,0.0004298
72,41.8563,0,60.0937,0,0,0,0,0,0,20.7656,0,0.000421882,0.000421882,0.000421882
73,42.4113,0,59.9817,0,0,0,0,0,0,20.7656,0,0.000413568,0.000413568,0.000413568
74,42.9423,0,60.0874,0,0,0,0,0,0,20.7656,0,0.000404858,0.000404858,0.000404858
75,43.5063,0,59.8453,0,0,0,0,0,0,20.6719,0,0.000395752,0.000395752,0.000395752
76,44.0423,0,58.6912,0,0,0,0,0,0,20.6719,0,0.00038625,0.00038625,0.00038625
77,44.5883,0,59.0157,0,0,0,0,0,0,20.6719,0,0.000376352,0.000376352,0.000376352
78,45.1523,0,58.9243,0,0,0,0,0,0,20.4062,0,0.000366058,0.000366058,0.000366058
79,45.6933,0,58.0746,0,0,0,0,0,0,20.4062,0,0.000355368,0.000355368,0.000355368
80,46.2393,0,58.1082,0,0,0,0,0,0,20.4062,0,0.000344282,0.000344282,0.000344282
81,46.8073,0,57.8009,0,0,0,0,0,0,20.2031,0,0.0003328,0.0003328,0.0003328
82,47.3523,0,58.2893,0,0,0,0,0,0,20.2031,0,0.000320922,0.000320922,0.000320922
83,47.9243,0,58.125,0,0,0,0,0,0,20.2031,0,0.000308648,0.000308648,0.000308648
84,48.5213,0,57.8207,0,0,0,0,0,0,19.8281,0,0.000295978,0.000295978,0.000295978
85,49.1033,0,57.4434,0,0,0,0,0,0,19.8281,0,0.000282912,0.000282912,0.000282912
86,49.6533,0,57.097,0,0,0,0,0,0,19.8281,0,0.00026945,0.00026945,0.00026945
87,50.1943,0,57.192,0,0,0,0,0,0,19.8281,0,0.000255592,0.000255592,0.000255592
88,50.8153,0,57.3739,0,0,0,0,0,0,19.4219,0,0.000241338,0.000241338,0.000241338
89,51.3983,0,56.5984,0,0,0,0,0,0,19.4219,0,0.000226688,0.000226688,0.000226688
90,52.0263,0,56.6679,0,0,0,0,0,0,19.4219,0,0.000211642,0.000211642,0.000211642
91,59.8553,0,57.3288,0,0,0,0,0,0,19.4219,0,0.0001962,0.0001962,0.0001962
92,61.1553,0,57.1755,0,0,0,0,0,0,19,0,0.000180362,0.000180362,0.000180362
93,61.8753,0,56.9217,0,0,0,0,0,0,19,0,0.000164128,0.000164128,0.000164128
94,62.5663,0,56.9353,0,0,0,0,0,0,19,0,0.000147498,0.000147498,0.000147498
95,63.2183,0,56.5382,0,0,0,0,0,0,19,0,0.000130472,0.000130472,0.000130472
96,63.8983,0,57.7316,0,0,0,0,0,0,18.6719,0,0.00011305,0.00011305,0.00011305
